Label,Model,Config,PR_AUC_mean,PR_AUC_std,F1_mean,F1_std,Bal.Acc_mean,Bal.Acc_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Sensitivity_mean,Specificity_mean
fine_hawthorn,RF,RF_n_estimators=300_max_features=log2,0.257,0.2363683565962246,0.19,0.1552417469626002,0.6557999999999999,0.192134588244803,0.9148,0.1054073052496836,0.1546,0.323,0.9886
fine_hay,SVM,SVM_C=0.1,0.1488,0.0907810552923901,0.1427999999999999,0.1169174922755359,0.6195999999999999,0.1067112927482372,0.7992,0.0806393204336445,0.1086,0.2684,0.9712
fine_hazelnut,RF,RF_n_estimators=300_max_features=log2,0.3494,0.0641778778084785,0.27,0.1148455484553058,0.729,0.1079189510697727,0.913,0.0558703857155112,0.2435999999999999,0.4836,0.9738
fine_herbal,RF,RF_n_estimators=300_max_features=log2,0.4506,0.0525480732282354,0.4538,0.0449855532365669,0.6971999999999999,0.0137731623093608,0.7894,0.0269313943196411,0.3938,0.5644,0.8295999999999999
fine_honey,XGB,XGB_n_estimators=100_max_depth=6,0.407,0.1204034883215598,0.4086,0.1051251634957111,0.6556,0.0437527142015212,0.8324,0.0265480696096721,0.5838,0.3192,0.9922
fine_hyacinth,RF,RF_n_estimators=300_max_features=log2,0.2208,0.1162828448224414,0.1997999999999999,0.175837140559098,0.6008,0.0914587338639672,0.835,0.0573890233407051,0.3836,0.2133999999999999,0.9884
fine_jasmin,RF,RF_n_estimators=100_max_features=log2,0.3743999999999999,0.1191062550834338,0.4002,0.1001933131501299,0.686,0.0463788745012209,0.8484,0.0791915399521944,0.446,0.3838,0.9882
fine_juicy,RF,RF_n_estimators=300_max_features=sqrt,0.1172,0.050440063441673,0.175,0.0954908372567755,0.624,0.074706090782479,0.8295999999999999,0.0584747808888584,0.142,0.2658,0.9824
fine_ketonic,RF,RF_n_estimators=300_max_features=log2,0.5286,0.1251870600341744,0.5449999999999999,0.1389010439125639,0.8046,0.0630896187973901,0.9052,0.0520259550609116,0.499,0.6157999999999999,0.9938
fine_lactonic,RF,RF_n_estimators=100_max_features=sqrt,0.3558,0.1788091160987045,0.3958,0.1695205002352223,0.7354,0.1168451967348251,0.876,0.0835493865926016,0.3464,0.4831999999999999,0.9876
fine_lavender,RF,RF_n_estimators=300_max_features=log2,0.2484,0.1373546504491202,0.2235999999999999,0.1639216276151502,0.654,0.1553914412057497,0.8632,0.1229520231635087,0.2533999999999999,0.3137999999999999,0.9944
fine_leafy,RF,RF_n_estimators=100_max_features=log2,0.1556,0.054546310599343,0.1772,0.0730664081503942,0.5804,0.027987497208575,0.7415999999999999,0.0700092850984781,0.2254,0.1988,0.962
fine_leathery,RF,RF_n_estimators=300_max_features=log2,0.2422,0.0651667092923986,0.206,0.0651805185619139,0.5974,0.0077974354758471,0.8135999999999999,0.0355710556492213,0.2852,0.2044,0.9902
fine_lemon,RF,RF_n_estimators=300_max_features=log2,0.3598,0.116166690578668,0.3452,0.0850482216157398,0.7104,0.0878965300794064,0.8724000000000001,0.0522522726778462,0.3474,0.4391999999999999,0.9822
fine_lily,RF,RF_n_estimators=300_max_features=log2,0.2238,0.0593523377804109,0.2582,0.0690738734978718,0.6704000000000001,0.067207142477567,0.8638,0.0184309522271639,0.2286,0.3623999999999999,0.9786
fine_malty,XGB,XGB_n_estimators=100_max_depth=6,0.6324,0.0419797570264527,0.5732,0.1974175777381538,0.7704000000000001,0.0234478143970819,0.9388,0.0441780488478158,0.6868000000000001,0.5432,0.9972
fine_meaty,XGB,XGB_n_estimators=100_max_depth=6,0.586,0.0314165561448099,0.571,0.0306186217847897,0.7988000000000001,0.0214406156628021,0.9248,0.013274034804836,0.5216000000000001,0.6352,0.962
fine_medicinal,RF,RF_n_estimators=300_max_features=log2,0.3142,0.0532794519491332,0.3465999999999999,0.0656642977576094,0.6592,0.0404252396406007,0.8926000000000001,0.0322381761270702,0.4108,0.327,0.9918
